Sr No;Date dd/mm/yyyy;Startup Name;Industry Vertical;SubVertical;City  Location;Investors Name;InvestmentnType;Amount in USD;Remarks
1403;2016/09/28;Beardo;eCommerce;Mens Grooming products etailer;Ahmedabad;Venture Catalysts;Seed Funding;5,00,000;nan
1404;2016/09/28;Instacar;Consumer Internet;Out-Station Taxi Rental Platform;Indore;Swastika Co Ltd.;Seed Funding;10,00,000;nan
1405;2016/09/28;Celes Care;Consumer Internet;Virtual Health Clinic for Women;Hyderabad;Endiya Partners;Seed Funding;10,00,000;nan
1406;2016/09/28;Druva;Technology;Cloud Based Data Protection Solution;Pune;Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital;Private Equity;5,10,00,000;nan
1407;2016/09/29;Promon;eCommerce;Local Commerce Platform;New Delhi;Now Capital;Seed Funding;1,80,000;nan
1408;2016/09/29;Fastudent;eCommerce;Education eCommerce platform;Noida;Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta;Seed Funding;N/A;nan
1409;2016/09/29;Unocoin;Consumer Internet;Bitcoin Wallet;Bangalore;Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club;Private Equity;15,00,000;nan
1410;2016/09/30;Demyto;Consumer Internet;Vehicle maintenance Services platform;Pune;Deepak Nathani;Seed Funding;N/A;nan
1411;2016/09/30;Zeta;Technology;Enterprise Cloud Solutions;Mumbai;Bhavin Turakhia;Private Equity;1,90,00,000;nan
1412;2016/09/30;Kalaage;Consumer Internet;Social Networking Platform for Writers;Jaipur;Rajasthan Angel Innovators Network;Seed Funding;N/A;nan
1413;2016/08/01;HealthKart;eCommerce;Online Pharmacy & Health Marketplace;Gurgaon;Sequoia Capital India, Omidyar Network, Kae Capital;Private Equity;1,20,00,000;nan
1414;2016/08/01;Medinfi;Consumer Internet;Doctor & Clinic\\xc2\\xa0 Discovery Platform;Bangalore;Mudit Saxena, Evan Lim;Seed Funding;2,00,000;nan
1415;2016/08/01;RepairEasy;Consumer Internet;Gadget Repair Services Platform;Pune;Undisclosed HNIs;Seed Funding;2,75,000;nan
1416;2016/08/01;Voonik;eCommerce;Online Women\\xe2\\x80\\x99s Fashion Marketplace;Bangalore;InnoVen Capital;Private Equity;30,00,000;nan
1417;2016/08/01;Tokri;Consumer Internet;Hyperlocal Grocery Delivery platform;Pune;Syska LED group;Private Equity;25,00,000;nan
1418;2016/08/02;Sheroes;Consumer Internet;Online Job and Career Platform for Women;Noida;Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media;Private Equity;18,00,000;nan
1419;2016/08/02;Daily Ninja;Consumer Internet;Hyperlocal daily needs Products delivery platform;Bangalore;Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati;Seed Funding;N/A;nan
1420;2016/08/02;Yumlane;Food & Beverage;Retail Food & Snack Offline centres;Mumbai;Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain;Seed Funding;10,00,000;nan
1421;2016/08/03;Xcode;Healthcare;Personal Genomics;Chennai;RoundGlass Partners;Private Equity;N/A;nan
1422;2016/08/03;ExtraCarbon;Consumer Internet;Waste Recycle Management platform;Gurgaon;Brand Capital;Seed Funding;2,25,000;nan
1423;2016/08/03;FlickBay;Consumer Internet;Mobile Based Bollywood Discovery platform;Mumbai;Paul Roy;Seed Funding;8,90,000;nan
1424;2016/08/04;Petoo;Consumer Internet;Food Delivery Platform;Bangalore;Existing Investors;Seed Funding;5,00,000;nan
1425;2016/08/04;lehlehsports;Others;Sports Arena discovery;New Delhi;Anglian Omega Network;Seed Funding;N/A;nan
1426;2016/08/05;Tricog;Healthcare;Healthcare Analytics Platform;Bangalore;Inventus Capital Partners, Blume Ventures & Others;Private Equity;N/A;nan
1427;2016/08/06;VST Travels;Technology;Travel Ticket Booking Software;Kerala;Promatus Group;Seed Funding;27;nan
1428;2016/08/08;AdPushUp;Technology;Ad optimization Platform;New Delhi;Geniee, Inc, Purvi Capital;Private Equity;N/A;nan
1429;2016/08/08;Wefly Indoor Skydiving;Others;Indoor Skydiving Sports Provider;Mumbai;Swastika Company Ltd.;Seed Funding;40;nan
1430;2016/08/08;Mojarto;eCommerce;Original Art, Digital Prints etailer;Gurgaon;Undisclosed Investors;Seed Funding;4,45,000;nan
1431;2016/08/08;Zipgrid;Consumer Internet;Community services platform;Mumbai;1Crowd (through crowd funding);Seed Funding;2,00,000;nan
1432;2016/08/09;MobiDent;Healthcare;Dental Protection Solution;Bangalore;Centre for Innovation Incubation and Entrepreneurship (CIIE);Seed Funding;N/A;nan
1433;2016/08/09;Zeolr/RespirON;Technology;Healthcare related IoT platform;New Delhi;Centre for Innovation Incubation and Entrepreneurship (CIIE);Seed Funding;N/A;nan
1434;2016/08/10;Vebbler;Consumer Internet;Photo Sharing Mobile App;Bangalore;Anupam Mittal, Sharad Sharma & 14 others;Seed Funding;5,00,000;nan
1435;2016/08/10;Bombay Shaving Company;eCommerce;Men\\xe2\\x80\\x99s Grooming Product etailer;New Delhi;Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others;Seed Funding;6,00,000;nan
1436;2016/08/11;Travelyaari;Consumer Internet;Online ticket booking platform;Bangalore;Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd;Private Equity;70,00,000;nan
1437;2016/08/11;91SpringBoard;Consumer Internet;Co-Working Spaces Discovery & Booking platform;Mumbai;Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others;Private Equity;N/A;nan
1438;2016/08/11;Genextstudents;Consumer Internet;Online Tutoring Service provider;Mumbai;1Crowd (through crowdfunding);Seed Funding;2,09,000;nan
1439;2016/08/11;Zenoti;Technology;Cloud Based Software Solutions Provider;Hyderabad;Norwest Venture Partners, Accel India;Private Equity;1,50,00,000;nan
1440;2016/08/12;Crofarm;Technology;Agri-Tech supply chain Solution provider;Gurgaon;Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,;Private Equity;15,00,000;nan
1441;2016/08/12;Faircent.com;Consumer Internet;peer-to-peer lending platform;Gurgaon;Brand Capital;Private Equity;15,00,000;nan
1442;2016/08/12;Innovaccer;Technology;Integrated Enterprise Analytics Platform;Noida;Westbridge Capital Partners;Private Equity;1,56,00,000;nan
1443;2016/08/12;Cuberoot;Technology;Data Analytics & Audience Management Platform;Gurgaon;Undisclosed Investors;Seed Funding;5,00,000;nan
1444;2016/08/12;Funcastic;Consumer Internet;B2C vernacular podcast aggregator platform;New Delhi;HT Media Ltd, North Base Media;Seed Funding;N/A;nan
1445;2016/08/15;Buttercups;ECommerce;Women Intimate Wear eTailer;Bangalore;Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese;Seed Funding;N/A;nan
1446;2016/08/16;Zappfresh;ECommerce;Raw Meat Products eTailer;Gurgaon;Ashvin Chadha;Seed Funding;N/A;nan
1447;2016/08/16;OyoRooms;Consumer Internet;Budget Hotels Aggregator;New Delhi;SoftBank Group;Private Equity;6,20,00,000;nan
1448;2016/08/16;Hike;Consumer Internet;Mobile Messaging App;New Delhi;Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises;Private Equity;17,50,00,000;nan
1449;2016/08/16;Joolz;eCommerce;Online Jewellery Store;Mumbai;Powerhouse Ventures, M&S Partners;Private Equity;5,00,000;nan
1450;2016/08/16;SaleBhai;eCommerce;Sweets, Dry Fruits & Handicrafts etailer;Ahmedabad;Brand Capital;Private Equity;15,00,000;nan
1451;2016/08/16;Makkajai;Technology;Online & Mobile learning for kids;Pune;Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd;Seed Funding;2,50,000;nan
1452;2016/08/16;Gradopedia;Consumer Internet;Career progression Portal;Mumbai;Undisclosed Dubai based HNIs;Seed Funding;N/A;nan
1453;2016/08/17;MaalGaadi;Logistics;Online Logistics Marketplace;Indore;Swan Angel Network,Sachin Khandelwal and others;Seed Funding;3,75,000;nan
1454;2016/08/17;ZiPi;Technology;Mobile Chatbot App;Bangalore;Swan Angel Network;Seed Funding;N/A;nan
1455;2016/08/17;Appknox;Technology;Mobile security solutions;Bangalore;SeedPlus, Infocomm Investments, Accel Partners RNT Associates;Private Equity;6,75,000;nan
1456;2016/08/17;Pikkol;Logistics;Packers & Movers;Bangalore;Indian Angel Network;Seed Funding;N/A;nan
1457;2016/08/18;Meesho;eCommerce;Mobile based eCommerce SAAS platform;Bangalore;Kashyap Deorah, Rajul Garg, Maninder Gulati;Seed Funding;N/A;nan
1458;2016/08/18;Sesame Software;Technology;Financial Technology Solutions Provider;Kozhikode;Speridian Technologies;Private Equity;N/A;nan
1459;2016/08/19;Quikr;Consumer Internet;Classified Listings platform;Mumbai;Brand Capital;Private Equity;2,00,00,000;nan
1460;2016/08/19;Digio;Technology;Aadhar based Document Signing platform;Bangalore;Rainmatter;Private Equity;3,75,000;nan
1461;2016/08/19;Ziffity;Technology;Full Service Ecommerce Agency;Chennai;Aspire Systems;Private Equity;N/A;nan
1462;2016/08/22;Zzungry;Consumer Internet;Food Delivery platform;Bangalore;Satish Vasudeva, Madhusudhan Jujare & Others;Seed Funding;N/A;nan
1463;2016/08/22;Puro Wellness;healthcare;Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer;Mumbai;Torrent Group;Private Equity;3,70,00,000;nan
1464;2016/08/22;Fitternity;Consumer Internet;Fitness Gym & Services Discovery platform;Mumbai;Saha Fund, Exfinity Venture Partners & Others;Private Equity;N/A;nan
1465;2016/08/23;TAC Security;Technology;Cyber-Security Solutions Provider;New Delhi;Vijay Kedia;Seed Funding;N/A;nan
1466;2016/08/23;Notesgen;Consumer Internet;Online Notes Sharing Portal;New Delhi;Riju Gupta, Kamal Chabra;Seed Funding;1,00,000;nan
1467;2016/08/23;NearU;Consumer Internet;Marketing app for retailers;Mumbai;Dr. Goutam Challagalla;Seed Funding;N/A;nan
1468;2016/08/23;Octo.ai;Technology;Artificial Intelligence based marketing platform;New Delhi;Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal;Seed Funding;2,00,000;nan
